new_market,date_created,new_type,contacts_n,contacts_n_1,contacts_n_2,contacts_n_3,contacts_n_4,contacts_n_5,contacts_n_6,contacts_n_7
market_1,2022-03-07,type_1,16,2,1,2,2,2,0,1
market_1,2022-02-18,type_1,20,3,0,1,1,1,1,0
market_1,2022-01-25,type_3,18,6,null,3,1,null,2,1
market_1,2022-03-06,type_5,141,7,10,8,3,3,5,4
market_1,2022-01-09,type_5,165,24,13,4,7,2,6,4
market_1,2022-02-10,type_5,155,16,8,7,9,7,11,8
market_1,2022-01-03,type_2,395,18,23,9,7,6,7,9
market_1,2022-01-12,type_2,280,18,17,2,3,6,7,6
market_1,2022-02-10,type_4,1,null,null,null,null,null,1,null
market_1,2022-02-12,type_1,17,4,1,0,3,0,1,3
market_1,2022-01-31,type_4,3,null,null,null,null,null,null,1
market_1,2022-01-09,type_2,107,3,7,8,5,1,3,3
market_1,2022-03-09,type_3,15,null,3,2,null,1,4,1
market_1,2022-01-08,type_3,9,1,1,null,3,1,2,null
market_1,2022-01-17,type_2,224,17,9,7,10,6,5,6
market_1,2022-01-08,type_4,1,null,null,null,null,null,null,null
market_1,2022-01-15,type_2,146,8,8,8,6,7,3,4
market_1,2022-02-16,type_5,174,6,8,8,6,9,7,2
market_1,2022-03-22,type_3,14,null,null,1,null,null,1,2
market_1,2022-02-04,type_3,16,null,2,1,3,1,2,1
market_1,2022-03-12,type_3,11,null,5,3,null,null,1,null
market_1,2022-03-26,type_4,1,1,null,null,null,null,null,null
market_1,2022-03-14,type_3,28,3,2,1,1,2,null,3
market_1,2022-03-31,type_5,235,21,15,8,19,6,8,11
market_1,2022-02-28,type_1,35,3,0,3,0,3,0,0
market_1,2022-01-05,type_1,52,3,1,1,6,3,0,2
market_1,2022-03-02,type_3,22,3,1,3,null,2,null,1
market_1,2022-03-14,type_2,370,10,12,9,10,5,5,20
market_1,2022-01-20,type_4,1,null,1,1,null,null,null,null
market_1,2022-03-06,type_2,169,12,8,8,6,7,7,4
market_1,2022-03-20,type_2,142,15,6,3,4,6,2,1
market_1,2022-02-02,type_3,12,1,1,null,null,3,1,null
market_1,2022-02-22,type_1,45,1,2,0,1,0,1,0
market_1,2022-01-01,type_1,30,6,0,1,2,0,1,0
market_1,2022-03-30,type_4,3,null,null,null,null,null,null,null
market_1,2022-03-31,type_4,3,null,null,null,null,null,null,null
market_1,2022-02-19,type_1,24,2,2,1,0,2,1,1
market_1,2022-01-03,type_3,18,1,2,1,null,1,null,null
market_1,2022-03-16,type_3,28,3,3,1,1,null,3,4
market_1,2022-03-02,type_4,1,null,1,1,null,null,1,null
market_1,2022-03-31,type_3,15,2,1,1,3,null,2,null
market_1,2022-03-09,type_5,202,21,7,6,2,14,6,3
market_1,2022-02-16,type_2,236,8,8,6,4,6,4,7
market_1,2022-02-20,type_4,2,1,null,null,null,null,null,null
market_1,2022-01-19,type_4,2,null,1,1,1,null,null,null
market_1,2022-03-25,type_5,280,46,13,8,12,15,7,7
market_1,2022-02-22,type_5,254,20,11,8,7,7,10,8
market_1,2022-03-05,type_5,182,9,16,3,5,8,2,4
market_1,2022-03-10,type_2,361,10,7,4,13,5,12,4
market_1,2022-02-07,type_4,2,null,1,null,null,null,null,null
market_1,2022-03-17,type_5,170,9,9,5,10,7,10,9
market_1,2022-01-07,type_4,7,null,null,null,null,null,null,1
market_1,2022-03-03,type_3,15,null,1,1,4,1,1,1
market_1,2022-01-06,type_1,43,4,2,2,3,0,4,0
market_1,2022-03-03,type_2,368,22,15,5,13,12,7,7
market_1,2022-01-24,type_4,4,1,null,null,null,null,null,null
market_1,2022-03-25,type_3,17,4,1,6,2,2,2,2
market_1,2022-01-10,type_3,14,null,null,1,null,null,null,null
market_1,2022-01-03,type_5,259,25,16,11,6,8,4,11
market_1,2022-03-25,type_2,344,18,6,13,13,14,11,2
market_1,2022-03-01,type_4,3,null,null,null,null,1,null,null
market_1,2022-02-18,type_5,157,14,6,7,4,4,4,4
market_1,2022-03-21,type_3,26,null,3,2,null,4,null,null
market_1,2022-03-31,type_1,33,2,5,0,3,3,1,0
market_1,2022-03-18,type_5,178,13,7,5,3,5,5,7
market_1,2022-02-18,type_2,263,11,3,9,5,7,4,4
market_1,2022-01-12,type_4,2,1,null,null,null,null,null,null
market_1,2022-01-02,type_2,111,8,5,5,1,5,2,2
market_1,2022-01-30,type_4,null,null,null,null,null,null,null,null
market_1,2022-03-05,type_3,19,null,1,null,null,null,2,1
market_1,2022-03-04,type_1,18,0,0,1,2,1,1,1
market_1,2022-02-23,type_3,15,1,3,null,2,1,null,3
market_1,2022-01-26,type_4,1,null,null,null,null,null,1,null
market_1,2022-01-07,type_2,228,12,7,4,8,6,5,4
market_1,2022-03-06,type_1,20,1,2,0,0,1,0,3
market_1,2022-03-01,type_3,25,1,1,null,2,1,2,1
market_1,2022-03-27,type_2,167,16,8,10,4,4,3,1
market_1,2022-01-28,type_3,11,1,2,2,null,1,1,null
market_1,2022-03-07,type_4,6,1,null,null,null,null,null,null
market_1,2022-03-02,type_2,342,11,8,5,7,9,8,15
market_1,2022-01-14,type_2,219,3,1,10,10,8,6,7
market_1,2022-01-04,type_5,207,27,10,12,18,13,5,8
market_1,2022-03-23,type_5,275,35,25,13,4,6,20,11
market_1,2022-03-06,type_3,5,1,null,null,null,null,null,null
market_1,2022-02-28,type_4,6,null,null,null,null,1,1,1
market_1,2022-02-21,type_5,198,16,16,8,6,7,2,14
market_1,2022-03-29,type_1,38,2,1,2,1,2,2,1
market_1,2022-03-17,type_4,3,null,null,null,null,null,null,null
market_1,2022-02-21,type_2,241,9,15,5,7,7,5,9
market_1,2022-01-21,type_4,5,2,null,null,1,null,null,null
market_1,2022-02-26,type_5,180,19,9,9,7,8,4,3
market_1,2022-02-28,type_3,29,5,4,4,1,null,null,2
market_1,2022-02-17,type_2,242,7,4,2,2,14,8,3
market_1,2022-02-11,type_5,173,20,5,11,3,10,3,2
market_1,2022-01-18,type_2,288,19,7,7,10,6,9,8
market_1,2022-01-28,type_1,32,2,3,2,0,3,2,0
market_1,2022-02-28,type_2,433,25,16,11,12,7,7,11
market_1,2022-03-08,type_3,17,1,1,4,null,null,null,2
market_1,2022-01-18,type_5,249,31,22,9,14,4,7,1
market_1,2022-03-03,type_4,2,1,1,1,null,1,null,null
market_1,2022-03-25,type_4,2,1,1,null,null,null,null,null
market_1,2022-03-21,type_1,28,6,1,3,0,5,0,4
market_1,2022-03-30,type_5,242,29,14,6,7,21,8,15
market_1,2022-02-14,type_4,2,null,1,null,null,null,null,null
market_1,2022-03-12,type_5,145,14,12,5,6,3,2,6
market_1,2022-02-12,type_3,9,1,1,1,2,1,2,null
market_1,2022-01-01,type_4,null,null,null,null,null,null,null,null
market_1,2022-03-07,type_3,18,2,2,2,1,null,null,1
market_1,2022-01-01,type_5,166,12,13,7,8,2,1,5
market_1,2022-02-01,type_4,1,null,null,null,null,null,null,null
market_1,2022-02-01,type_1,16,3,0,1,0,0,1,3
market_1,2022-03-30,type_3,22,1,1,null,1,2,1,1
market_1,2022-02-23,type_5,189,17,16,5,6,12,8,4
market_1,2022-01-17,type_5,193,22,19,15,11,7,3,5
market_1,2022-02-06,type_5,97,11,null,4,2,4,3,1
market_1,2022-02-09,type_4,2,null,null,null,null,null,null,null
market_1,2022-01-15,type_3,7,2,null,1,null,null,null,1
market_1,2022-02-08,type_3,24,3,3,2,null,null,null,1
market_1,2022-02-15,type_3,16,2,3,4,null,null,1,null
market_1,2022-02-15,type_4,null,null,null,null,null,null,null,null
market_1,2022-03-08,type_1,25,2,1,1,2,1,0,0
market_1,2022-01-23,type_5,137,9,2,3,2,3,5,1
market_1,2022-02-17,type_4,3,null,null,1,null,1,null,null
market_1,2022-03-20,type_5,161,12,11,7,10,3,4,3
market_1,2022-03-23,type_3,9,null,1,2,null,2,1,null
market_1,2022-01-18,type_1,31,5,1,1,3,0,2,1
market_1,2022-01-21,type_1,29,7,2,1,4,0,0,1
market_1,2022-02-06,type_1,23,1,2,0,1,0,0,0
market_1,2022-01-19,type_3,18,1,1,null,null,null,1,2
market_1,2022-01-28,type_5,248,17,13,14,9,8,7,6
market_1,2022-02-13,type_3,1,2,null,1,null,null,1,null
market_1,2022-01-06,type_3,11,1,1,1,null,null,2,null
market_1,2022-03-20,type_3,9,2,3,null,null,1,null,null
market_1,2022-03-23,type_1,24,6,1,4,2,0,3,4
market_1,2022-02-02,type_2,296,11,10,10,6,14,8,9
market_1,2022-01-04,type_4,4,1,null,1,null,null,null,null
market_1,2022-03-12,type_1,15,0,2,0,3,1,1,1
market_1,2022-03-24,type_2,320,13,8,6,6,14,12,9
market_1,2022-01-29,type_3,7,6,3,2,null,null,null,null
market_1,2022-03-28,type_1,35,3,1,1,0,1,0,3
market_1,2022-03-26,type_1,48,3,1,2,1,2,2,0
market_1,2022-01-26,type_1,16,2,2,1,2,0,0,0
market_1,2022-02-03,type_3,12,2,null,null,null,2,1,2
market_1,2022-02-14,type_3,21,1,1,2,2,null,null,1
market_1,2022-03-29,type_3,28,2,1,null,null,null,null,1
market_1,2022-02-27,type_5,143,14,14,5,2,2,3,5
market_1,2022-03-27,type_5,158,12,9,7,6,10,4,2
market_1,2022-01-28,type_4,5,null,null,1,null,null,null,1
market_1,2022-03-08,type_2,352,10,7,12,5,5,13,8
market_1,2022-01-20,type_2,254,8,12,5,11,6,10,3
market_1,2022-02-05,type_1,11,3,1,1,0,2,4,1
market_1,2022-03-15,type_3,26,3,4,2,1,1,2,null
market_1,2022-03-20,type_1,24,0,2,0,3,0,1,0
market_1,2022-02-07,type_1,24,6,1,0,8,1,2,2
market_1,2022-03-26,type_2,231,12,14,11,11,12,4,2
market_1,2022-03-05,type_1,31,1,2,1,0,0,1,0
market_1,2022-03-25,type_1,32,6,3,2,2,0,2,2
market_1,2022-03-29,type_2,413,39,15,8,5,1,9,8
market_1,2022-01-05,type_5,210,26,18,9,8,17,7,5
market_1,2022-03-04,type_3,15,null,null,1,null,null,1,1
market_1,2022-03-30,type_2,599,30,20,8,4,15,6,1
market_1,2022-01-14,type_5,250,13,8,7,5,2,6,8
market_1,2022-01-19,type_2,310,10,14,12,3,8,5,4
market_1,2022-02-04,type_2,248,16,3,11,8,9,10,2
market_1,2022-03-24,type_1,34,0,3,0,0,3,2,1
market_1,2022-01-01,type_2,97,3,5,3,2,3,1,2
market_1,2022-03-10,type_1,27,5,1,1,0,0,4,4
market_1,2022-03-10,type_3,10,1,null,null,null,2,null,2
market_1,2022-03-26,type_3,15,2,1,2,null,null,1,null
market_1,2022-02-20,type_5,132,13,11,7,3,7,5,9
market_1,2022-02-27,type_4,5,null,1,null,null,null,null,null
market_1,2022-02-08,type_5,190,25,7,4,4,5,4,null
market_1,2022-03-17,type_3,24,2,1,1,2,2,null,null
market_1,2022-01-07,type_3,13,null,null,null,1,2,null,1
market_1,2022-02-13,type_5,134,11,9,8,2,4,4,1
market_1,2022-02-20,type_2,122,7,3,3,3,2,1,2
market_1,2022-03-21,type_4,5,1,null,1,null,null,null,null
market_1,2022-01-24,type_1,26,1,0,0,3,0,1,1
market_1,2022-01-17,type_4,2,null,1,null,1,null,1,1
market_1,2022-03-01,type_5,242,31,6,11,6,5,6,5
market_1,2022-02-25,type_3,14,1,null,4,2,1,1,1
market_1,2022-01-12,type_1,49,1,4,0,0,1,1,1
market_1,2022-02-27,type_1,17,0,0,0,0,0,1,0
market_1,2022-01-13,type_2,299,13,4,2,7,6,3,4
market_1,2022-03-11,type_3,14,3,1,2,1,2,1,1
market_1,2022-03-15,type_4,4,1,2,null,null,null,null,null
market_1,2022-01-31,type_2,290,11,14,7,4,9,4,5
market_1,2022-02-15,type_1,15,1,1,1,3,1,3,0
market_1,2022-01-23,type_3,5,1,null,1,2,1,null,null
market_1,2022-02-07,type_2,303,11,10,16,3,8,4,14
market_1,2022-03-19,type_2,151,5,12,4,6,11,5,2
market_1,2022-01-13,type_4,4,1,null,1,1,null,null,null
market_1,2022-02-24,type_4,2,null,null,null,null,null,null,null
market_1,2022-01-25,type_2,304,14,12,9,8,2,5,7
market_1,2022-03-27,type_3,5,1,1,null,null,null,null,null
market_1,2022-01-22,type_4,4,null,null,null,null,null,1,null
market_1,2022-02-24,type_3,8,1,null,1,1,1,3,1
market_1,2022-02-27,type_3,7,1,3,null,null,1,null,null
market_1,2022-01-19,type_5,229,31,14,7,3,11,1,12
market_1,2022-03-16,type_5,156,13,5,8,3,7,8,6
market_1,2022-03-10,type_5,199,18,5,3,16,4,11,4
market_1,2022-03-11,type_5,181,20,12,16,12,11,5,5
market_1,2022-03-15,type_2,316,16,5,7,6,6,9,11
market_1,2022-03-19,type_3,18,4,2,null,null,1,null,2
market_1,2022-01-31,type_1,18,0,3,1,0,0,0,2
market_1,2022-03-07,type_5,206,20,21,10,11,6,5,11
market_1,2022-03-24,type_3,11,1,null,null,null,1,3,null
market_1,2022-03-10,type_4,4,null,null,null,null,null,null,null
market_1,2022-01-14,type_1,25,2,1,1,0,0,1,0
market_1,2022-01-22,type_5,235,16,18,9,8,4,12,8
market_1,2022-03-18,type_4,1,null,null,null,null,null,null,null
market_1,2022-03-15,type_5,192,27,9,4,4,10,6,7
market_1,2022-01-29,type_1,23,5,1,0,0,1,0,0
market_1,2022-01-08,type_1,41,4,2,3,0,0,0,0
market_1,2022-03-11,type_4,3,null,null,null,null,1,null,null
market_1,2022-03-08,type_5,182,27,12,12,9,2,5,7
market_1,2022-02-20,type_3,9,5,1,3,2,null,null,1
market_1,2022-01-06,type_4,null,1,null,null,null,null,null,null
market_1,2022-02-23,type_4,1,null,null,null,null,null,null,null
market_1,2022-01-12,type_5,288,25,12,6,6,16,7,7
market_1,2022-02-03,type_1,25,2,0,0,1,1,0,0
market_1,2022-02-12,type_2,171,12,6,3,4,7,2,4
market_1,2022-03-19,type_4,null,null,null,null,1,null,null,null
market_1,2022-02-09,type_2,254,8,11,8,4,10,8,5
market_1,2022-02-13,type_4,1,null,null,null,null,null,null,null
market_1,2022-03-07,type_2,382,24,7,8,9,13,6,19
market_1,2022-01-28,type_2,227,9,5,17,9,14,13,8
market_1,2022-02-14,type_2,252,19,10,8,13,8,5,9
market_1,2022-01-02,type_3,7,null,null,3,1,null,null,null
market_1,2022-02-23,type_1,24,0,1,2,1,1,0,0
market_1,2022-03-14,type_4,5,1,null,null,null,null,null,null
market_1,2022-03-24,type_4,4,null,null,null,null,null,null,null
market_1,2022-01-11,type_3,14,1,2,1,2,null,1,null
market_1,2022-02-03,type_4,2,null,null,null,null,1,null,null
market_1,2022-03-09,type_1,21,3,0,1,1,2,0,1
market_1,2022-02-11,type_3,24,2,null,3,1,1,2,null
market_1,2022-02-05,type_3,9,null,2,1,1,null,null,null
market_1,2022-01-09,type_3,5,1,null,1,null,null,null,null
market_1,2022-02-26,type_3,13,1,3,3,2,null,null,2
market_1,2022-01-13,type_1,32,4,4,2,1,1,2,1
market_1,2022-02-09,type_3,19,1,1,null,null,1,null,null
market_1,2022-02-01,type_3,15,2,1,1,null,null,2,1
market_1,2022-01-16,type_3,7,1,1,null,null,null,null,2
market_1,2022-01-27,type_4,1,null,null,null,null,null,null,null
market_1,2022-01-27,type_2,237,14,5,2,14,3,2,6
market_1,2022-03-24,type_5,263,33,16,13,10,9,6,4
market_1,2022-02-21,type_4,5,null,null,null,null,null,null,null
market_1,2022-03-03,type_1,32,4,2,1,1,2,2,0
market_1,2022-01-13,type_3,19,4,3,1,null,3,null,1
market_1,2022-01-04,type_2,343,19,10,10,6,null,13,10
market_1,2022-02-25,type_1,18,1,0,2,1,1,0,1
market_1,2022-01-31,type_3,22,2,1,2,2,null,1,2
market_1,2022-01-27,type_3,17,null,null,null,2,null,null,2
market_1,2022-02-05,type_4,null,null,null,1,null,null,null,null
market_1,2022-02-06,type_2,120,11,4,3,6,2,5,3
market_1,2022-03-13,type_2,192,8,7,9,7,2,3,2
market_1,2022-02-22,type_2,300,21,14,11,8,2,13,14
market_1,2022-01-30,type_2,94,8,1,3,1,2,3,null
market_1,2022-01-17,type_3,12,3,2,null,null,null,null,null
market_1,2022-03-23,type_4,8,1,null,null,1,null,null,null
market_1,2022-01-09,type_4,2,null,null,null,null,null,null,null
market_1,2022-01-13,type_5,246,23,11,9,7,6,6,2
market_1,2022-03-06,type_4,6,null,null,null,null,null,null,null
market_1,2022-03-01,type_2,366,20,20,13,13,8,13,7
market_1,2022-01-18,type_4,2,null,null,1,1,1,1,null
market_1,2022-02-21,type_3,23,1,1,null,4,1,null,1
market_1,2022-03-18,type_1,18,0,2,3,2,2,2,0
market_1,2022-03-14,type_5,238,23,7,11,4,5,3,13
market_1,2022-01-10,type_5,223,28,12,5,11,7,3,8
market_1,2022-03-05,type_2,178,8,11,10,3,3,8,3
market_1,2022-01-24,type_2,281,25,7,9,9,4,3,6
market_1,2022-03-22,type_5,233,35,23,12,7,8,7,4
market_1,2022-03-09,type_4,1,null,null,null,null,null,1,null
market_1,2022-01-02,type_5,141,17,8,14,6,3,null,4
market_1,2022-03-20,type_4,null,null,null,null,null,null,null,1
market_1,2022-02-13,type_2,137,7,10,4,8,1,4,2
market_1,2022-02-06,type_3,4,null,null,null,1,null,null,null
market_1,2022-01-22,type_2,182,10,10,12,6,8,5,5
market_1,2022-03-16,type_4,45,2,null,null,null,null,null,null
market_1,2022-03-02,type_5,196,31,10,21,11,11,11,10
market_1,2022-02-02,type_5,202,13,16,15,9,15,5,7
market_1,2022-01-17,type_1,40,1,0,0,1,2,1,0
market_1,2022-01-06,type_2,242,11,5,1,8,4,2,5
market_1,2022-01-09,type_1,34,2,3,1,1,0,0,0
market_1,2022-03-28,type_3,31,6,1,2,1,1,null,1
market_1,2022-03-21,type_2,465,35,18,17,12,9,5,19
market_1,2022-01-24,type_5,225,7,17,7,6,5,2,5
market_1,2022-02-15,type_2,311,17,7,8,6,9,5,2
market_1,2022-03-16,type_1,40,1,0,1,0,2,1,1
market_1,2022-01-16,type_4,2,null,null,1,null,null,null,null
market_1,2022-02-07,type_3,26,4,5,4,1,2,null,1
market_1,2022-03-04,type_4,5,null,1,null,null,null,1,null
market_1,2022-02-09,type_1,24,0,3,1,1,1,0,1
market_1,2022-03-17,type_2,262,11,2,2,16,7,6,11
market_1,2022-01-07,type_5,214,22,16,14,13,4,9,12
market_1,2022-01-08,type_5,164,18,16,15,3,3,3,1
market_1,2022-02-16,type_1,26,3,1,0,0,0,1,0
market_1,2022-01-25,type_5,176,17,8,11,1,5,9,10
market_1,2022-01-03,type_4,6,null,1,null,null,null,null,null
market_1,2022-01-31,type_5,243,31,16,12,12,8,1,10
market_1,2022-02-09,type_5,199,18,8,8,6,9,7,1
market_1,2022-02-15,type_5,168,25,6,2,3,5,11,8
market_1,2022-03-19,type_1,15,0,2,2,0,3,0,2
market_1,2022-03-04,type_5,174,10,11,11,8,8,4,1
market_1,2022-01-03,type_1,55,3,6,0,5,2,4,4
market_1,2022-02-18,type_3,18,null,null,3,1,null,null,null
market_1,2022-02-11,type_2,197,10,4,10,7,4,5,8
market_1,2022-02-03,type_2,304,13,11,4,8,2,6,6
market_1,2022-03-13,type_3,3,2,4,1,null,null,null,null
market_1,2022-02-06,type_4,1,null,null,1,null,null,null,null
market_1,2022-03-23,type_2,454,25,15,9,6,20,16,28
market_1,2022-01-16,type_5,118,11,6,8,6,6,2,3
market_1,2022-02-21,type_1,18,4,0,0,1,2,0,1
market_1,2022-03-28,type_2,480,28,19,19,13,5,9,12
market_1,2022-01-01,type_3,7,null,null,null,null,null,null,1
market_1,2022-01-24,type_3,22,3,4,null,1,1,3,1
market_1,2022-02-04,type_4,3,null,null,null,1,null,null,null
market_1,2022-01-27,type_5,171,25,12,2,6,3,2,2
market_1,2022-03-16,type_2,378,17,16,5,6,14,15,17
market_1,2022-03-22,type_4,4,null,null,null,null,null,null,null
market_1,2022-03-22,type_1,28,2,2,3,3,1,0,3
market_1,2022-02-24,type_1,13,2,2,0,0,0,2,1
market_1,2022-03-30,type_1,46,1,2,3,2,3,0,2
market_1,2022-03-29,type_5,186,16,15,10,5,3,8,8
market_1,2022-01-26,type_5,182,18,7,10,3,9,10,7
market_1,2022-01-15,type_5,215,10,8,9,15,4,5,2
market_1,2022-01-16,type_1,24,1,3,2,1,1,0,0
market_1,2022-02-01,type_5,233,24,16,12,10,null,6,5
market_1,2022-03-11,type_1,20,1,1,3,2,5,1,0
market_1,2022-01-23,type_4,1,null,null,null,null,null,null,null
market_1,2022-01-10,type_4,1,null,null,null,null,null,null,null
market_1,2022-03-04,type_2,279,11,7,11,12,10,5,14
market_1,2022-03-29,type_4,3,null,null,null,null,null,null,null
